"ID";"Energiedragers";"Perioden";"TotaalAanbodTPES_1"
"136";"E006459   ";"2010JJ00";"   316.0"
"137";"E006459   ";"2011JJ00";"   311.7"
"138";"E006459   ";"2012JJ00";"   342.5"
"139";"E006459   ";"2013JJ00";"   342.7"
"140";"E006459   ";"2014JJ00";"   379.1"
"141";"E006459   ";"2015JJ00";"   461.1"
"142";"E006459   ";"2016JJ00";"   427.3"
"143";"E006459   ";"2017JJ00";"   383.0"
"1216";"E006479   ";"2010JJ00";"  1324.6"
"1217";"E006479   ";"2011JJ00";"  1257.5"
"1218";"E006479   ";"2012JJ00";"  1273.4"
"1219";"E006479   ";"2013JJ00";"  1217.4"
"1220";"E006479   ";"2014JJ00";"  1216.4"
"1221";"E006479   ";"2015JJ00";"  1195.1"
"1222";"E006479   ";"2016JJ00";"  1217.0"
"1223";"E006479   ";"2017JJ00";"  1214.4"
"2872";"E006560   ";"2010JJ00";"  1677.6"
"2873";"E006560   ";"2011JJ00";"  1467.2"
"2874";"E006560   ";"2012JJ00";"  1402.0"
"2875";"E006560   ";"2013JJ00";"  1397.6"
"2876";"E006560   ";"2014JJ00";"  1218.4"
"2877";"E006560   ";"2015JJ00";"  1198.5"
"2878";"E006560   ";"2016JJ00";"  1257.2"
"2879";"E006560   ";"2017JJ00";"  1298.6"
"2944";"E006565   ";"2010JJ00";"   134.6"
"2945";"E006565   ";"2011JJ00";"   139.7"
"2946";"E006565   ";"2012JJ00";"   147.6"
"2947";"E006565   ";"2013JJ00";"   145.7"
"2948";"E006565   ";"2014JJ00";"   145.5"
"2949";"E006565   ";"2015JJ00";"   154.2"
"2950";"E006565   ";"2016JJ00";"   158.3"
"2951";"E006565   ";"2017JJ00";"   173.5"
"3736";"E006602   ";"2010JJ00";"    38.4"
"3737";"E006602   ";"2011JJ00";"    40.2"
"3738";"E006602   ";"2012JJ00";"    38.5"
"3739";"E006602   ";"2013JJ00";"    27.6"
"3740";"E006602   ";"2014JJ00";"    39.4"
"3741";"E006602   ";"2015JJ00";"    39.2"
"3742";"E006602   ";"2016JJ00";"    38.4"
"3743";"E006602   ";"2017JJ00";"    33.1"
"3808";"E006515   ";"2010JJ00";"    35.0"
"3809";"E006515   ";"2011JJ00";"    36.2"
"3810";"E006515   ";"2012JJ00";"    36.0"
"3811";"E006515   ";"2013JJ00";"    37.8"
"3812";"E006515   ";"2014JJ00";"    39.3"
"3813";"E006515   ";"2015JJ00";"    38.3"
"3814";"E006515   ";"2016JJ00";"    40.4"
"3815";"E006515   ";"2017JJ00";"    38.9"
"3880";"E006611   ";"2010JJ00";"     2.1"
"3881";"E006611   ";"2011JJ00";"     2.4"
"3882";"E006611   ";"2012JJ00";"     4.0"
"3883";"E006611   ";"2013JJ00";"     3.9"
"3884";"E006611   ";"2014JJ00";"     2.8"
"3885";"E006611   ";"2015JJ00";"     3.6"
"3886";"E006611   ";"2016JJ00";"     2.7"
"3887";"E006611   ";"2017JJ00";"     3.7"
"3952";"E006607   ";"2010JJ00";"    10.0"
"3953";"E006607   ";"2011JJ00";"    32.7"
"3954";"E006607   ";"2012JJ00";"    61.6"
"3955";"E006607   ";"2013JJ00";"    65.7"
"3956";"E006607   ";"2014JJ00";"    53.0"
"3957";"E006607   ";"2015JJ00";"    31.5"
"3958";"E006607   ";"2016JJ00";"    17.7"
"3959";"E006607   ";"2017JJ00";"    12.6"
